,Name,Neighborhood,Review Count,Rating,Type,Longitude,Latitude
201,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
202,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
203,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
204,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
205,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
206,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
207,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
208,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
209,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
210,Angelo's Wine Bar,ALBANY PARK,245,4.0,Italian,-87.7161739,41.9719367
211,Angelo's Wine Bar,ALBANY PARK,245,4.0,Cocktail Bars,-87.7161739,41.9719367
212,Angelo's Wine Bar,ALBANY PARK,245,4.0,Wine Bars,-87.7161739,41.9719367
215,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
216,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
217,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
218,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
219,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
220,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
221,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
222,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
223,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
224,Semiramis,ALBANY PARK,521,4.0,Sandwiches,-87.7161739,41.9719367
225,Cafe Orient 33,ALBANY PARK,196,4.5,Korean,-87.7161739,41.9719367
226,Cafe Orient 33,ALBANY PARK,196,4.5,Chicken Wings,-87.7161739,41.9719367
227,Cafe Orient 33,ALBANY PARK,196,4.5,Seafood,-87.7161739,41.9719367
228,Ruby's Fast Food,ALBANY PARK,218,4.5,Filipino,-87.7161739,41.9719367
229,Ruby's Fast Food,ALBANY PARK,218,4.5,Buffets,-87.7161739,41.9719367
230,Ruby's Fast Food,ALBANY PARK,218,4.5,Fast Food,-87.7161739,41.9719367
231,Ay Ay Picante,ALBANY PARK,540,4.0,Seafood,-87.7161739,41.9719367
232,Ay Ay Picante,ALBANY PARK,540,4.0,Peruvian,-87.7161739,41.9719367
233,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Pubs,-87.7161739,41.9719367
234,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Burgers,-87.7161739,41.9719367
235,Bryn Mawr Breakfast Club,ALBANY PARK,667,4.5,Breakfast & Brunch,-87.7161739,41.9719367
236,Afghan Kabob,ALBANY PARK,259,4.5,Middle Eastern,-87.7161739,41.9719367
237,Afghan Kabob,ALBANY PARK,259,4.5,Afghan,-87.7161739,41.9719367
238,Hot Dog Station,ALBANY PARK,160,4.5,Hot Dogs,-87.7161739,41.9719367
239,Hot Dog Station,ALBANY PARK,160,4.5,Burgers,-87.7161739,41.9719367
240,Tre Kronor,ALBANY PARK,684,4.0,Breakfast & Brunch,-87.7161739,41.9719367
241,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
242,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
243,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
244,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
245,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
246,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
247,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
248,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
249,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
